data_name,optimized algebraic connectivity,algorithm
LCC_PRE_1993_to_1994,0.001341009441780659,GreedyV3_centralisedI0
LCC_PRE_1994_to_1995,0.0009755008380596873,GreedyV3_centralisedI0
LCC_PRE_1995_to_1996,0.00011344876875143885,GreedyV3_centralisedI0
LCC_PRE_1996_to_1997,9.554766609799943e-05,GreedyV3_centralisedI0
LCC_PRE_1997_to_1998,0.00026172395473643753,GreedyV3_centralisedI0
LCC_PRE_1998_to_1999,0.0006837171519807557,GreedyV3_centralisedI0
LCC_PRE_1999_to_2000,0.00024092770695618396,GreedyV3_centralisedI0
LCC_PRE_2000_to_2001,3.1511145134735193e-05,GreedyV3_centralisedI0
LCC_PRE_2001_to_2002,1.326094291280697e-05,GreedyV3_centralisedI0
LCC_PRE_2002_to_2003,1.5897734338457942e-05,RandomGreedyV3_centralisedI0
LCC_PRE_2003_to_2004,2.2703186121442724e-06,GreedyV3_centralisedI0
LCC_PRE_2004_to_2005,1.1060609241049482e-05,GreedyV3_centralisedI0
LCC_PRE_2005_to_2006,9.378687958336365e-06,GreedyV3_centralisedI0
LCC_PRE_2006_to_2007,0.00016638027026156323,GreedyV3_centralisedI0
LCC_PRE_2007_to_2008,4.801146950446232e-06,GreedyV3_centralisedI0
LCC_PRE_2008_to_2009,7.555348007827114e-06,GreedyV3_centralisedI0
LCC_PRE_2009_to_2010,2.111781449903326e-05,GreedyV3_centralisedI0
LCC_PRE_2010_to_2011,1.8264806658959993e-05,GreedyV3_centralisedI0
LCC_PRE_2011_to_2012,2.8199448302677975e-05,GreedyV3_centralisedI0
LCC_PRE_2012_to_2013,9.088684108841941e-06,GreedyV3_centralisedI0
LCC_PRE_2013_to_2014,9.984663607991252e-06,GreedyV3_centralisedI0
LCC_PRE_2014_to_2015,1.1942856699707628e-05,GreedyV3_centralisedI0
LCC_PRE_2015_to_2016,3.999333382565331e-06,GreedyV3_centralisedI0
LCC_PRE_2016_to_2017,2.4548647621856415e-06,GreedyV3_centralisedI0
LCC_PRE_2017_to_2018,2.1539853188784663e-06,GreedyV3_centralisedI0
LCC_PRE_2018_to_2019,2.820667322519529e-06,GreedyV3_centralisedI0
LCC_PRE_2019_to_2020,2.0331727448522025e-06,GreedyV3_centralisedI0
LCC_PRE_2020_to_2021,1.1211209858422313e-05,GreedyV3_centralisedI0
